Goal,Target,Indicator
1,1.3,1.3.1
1,1.4,1.4.1
1,1.5,1.5.2
1,1.5,1.5.1
1,1.5,1.5.3
1,1.5,1.5.4
1,1.a,1.a.2
2,2.1,2.1.1
2,2.1,2.1.2
2,2.2,2.2.1
2,2.2,2.2.2
2,2.a,2.a.1
2,2.c,2.c.1
3,3.2,3.2.1
3,3.2,3.2.2
3,3.3,3.3.1
3,3.3,3.3.3
3,3.3,3.3.5
3,3.3,3.3.2
3,3.4,3.4.2
3,3.4,3.4.1
3,3.6,3.6.1
3,3.8,3.8.1
3,3.9,3.9.3
3,3.b,3.b.1
4,4.2,4.2.2
4,4.3,4.3.1
4,4.5,4.5.1
6,6.1,6.1.1
6,6.2,6.2.1
6,6.4,6.4.2
6,6.4,6.4.1
6,6.5,6.5.1
6,6.6,6.6.1
7,7.1,7.1.2
7,7.1,7.1.1
7,7.2,7.2.1
7,7.3,7.3.1
7,7.a,7.a.1
7,7.b,7.b.1
8,8.2,8.2.1
8,8.3,8.3.1
8,8.8,8.8.2
9,9.1,9.1.2
9,9.4,9.4.1
9,9.5,9.5.2
9,9.5,9.5.1
10,10.4,10.4.1
10,10.5,10.5.1
10,10.7,10.7.3
10,10.c,10.c.1
11,11.1,11.1.1
11,11.5,11.5.2
11,11.5,11.5.1
11,11.6,11.6.2
11,11.b,11.b.1
11,11.b,11.b.2
12,12.a,12.a.1
12,12.c,12.c.1
13,13.1,13.1.1
13,13.1,13.1.2
13,13.1,13.1.3
14,14.1,14.1.1
14,14.7,14.7.1
14,14.b,14.b.1
15,15.1,15.1.1
15,15.2,15.2.1
15,15.5,15.5.1
15,15.6,15.6.1
16,16.2,16.2.2
16,16.3,16.3.2
16,16.6,16.6.1
17,17.1,17.1.1
17,17.13,17.13.1
17,17.17,17.17.1
17,17.3,17.3.2
17,17.3,17.3.1
17,17.4,17.4.1
17,17.8,17.8.1
